Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,Bollinger MA,Bollinger Up,Bollinger Down,MACD,MACDsig,MACDhist,new_indicator,sma_new_indicator,Prediction
7/16/2021,2087.75,2114.75,2087.600098,2112.399902,2098.645752,4074206,2122.557507,55.39876378,2122.557507,2219.668752,2025.446263,-11.01416278,-5.582778209,-5.431384572,0.095243144,0.081675535,L
7/19/2021,2100,2124,2092.25,2098.949951,2085.283447,3855577,2115.642505,52.17644497,2115.642505,2196.742734,2034.542275,-10.68842005,-6.603906577,-4.084513474,0.098380841,0.084154272,L
7/20/2021,2099.5,2108,2084,2093.800049,2080.166992,3111185,2109.045007,46.46678736,2109.045007,2171.830888,2046.259127,-10.72222155,-7.427569571,-3.294651976,0.100220918,0.086432331,L
7/22/2021,2119,2123.899902,2098.149902,2120.699951,2106.891846,3679260,2104.8125,54.50228635,2104.8125,2148.888277,2060.736723,-8.480652514,-7.63818616,-0.842466354,0.105933577,0.089133323,L
7/23/2021,2134.449951,2134.449951,2102.050049,2105.699951,2091.989502,4585938,2102.422498,45.06443337,2102.422498,2140.101962,2064.743033,-7.824373044,-7.675423537,-0.148949507,0.107549207,0.092036997,L
7/26/2021,2108,2121,2071.100098,2076.850098,2063.327393,5717830,2101.042505,34.98463179,2101.042505,2140.393889,2061.691121,-9.522440102,-8.04482685,-1.477613252,0.104453927,0.094840885,L
7/27/2021,2076.800049,2083.699951,2042,2055,2041.619629,4995516,2099.492505,35.50058054,2099.492505,2143.504727,2055.480283,-12.48734445,-8.933330369,-3.554014076,0.099616703,0.096948365,L
7/28/2021,2058,2058,2016.25,2037.349976,2024.084473,5952355,2096.970001,35.07795019,2096.970001,2148.878482,2045.06152,-16.0759484,-10.36185398,-5.714094426,0.094584538,0.098039497,S
7/29/2021,2054,2074.399902,2043.400024,2053.25,2039.880981,6352886,2094.100006,41.87147906,2094.100006,2149.080176,2039.119836,-17.43595302,-11.77667378,-5.659279239,0.094712237,0.098898932,S
7/30/2021,2058,2067.949951,2031.099976,2035.300049,2022.047852,5238304,2090.967511,42.47694929,2090.967511,2151.846603,2030.088419,-19.73468831,-13.36827669,-6.366411623,0.093064887,0.099375998,S
8/2/2021,2054.300049,2079.399902,2041.150024,2072.5,2059.005615,5041934,2088.140009,47.79381232,2088.140009,2146.783673,2029.496344,-18.34327756,-14.36327686,-3.980000692,0.098624316,0.099714115,S
8/3/2021,2090,2091,2064.199951,2087.75,2074.15625,5453682,2085.017511,47.72424638,2085.017511,2135.882333,2034.152689,-15.8275765,-14.65613679,-1.171439713,0.105167194,0.10039275,L
8/4/2021,2094.399902,2114,2087,2103.75,2090.052246,6077861,2083.965009,53.35096144,2083.965009,2132.165125,2035.764892,-12.39986113,-14.20488166,1.805020526,0.112101214,0.10158078,L
8/5/2021,2114.300049,2154.800049,2104.25,2134.25,2120.35376,9807831,2085.175006,58.89612583,2085.175006,2137.195878,2033.154135,-7.139971757,-12.79189968,5.651927923,0.121063044,0.103093727,L
